,id,description,title,lang,url,banner,capacity,starting_at,ending_at,status,event_type_id,host,excerpt,academy_id,eventbrite_id,eventbrite_status,eventbrite_url,published_at,eventbrite_sync_description,eventbrite_sync_status,online_event,sync_with_eventbrite,currency,slug,tags
20,146,Clase 100% práctica para introducirte en el mundo de la programación. Construye un feed de Instagram con HTML & CSS en poco más de 1 hora.,Crea tu propio Feed de Instagram con HTML Y CSS,,https://www.eventbrite.com/e/entradas-crea-tu-propio-feed-de-instagram-con-html-y-css-155579455339,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135574901%2F400512721347%2F1%2Foriginal.20210517-082208?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C10%2C4320%2C2160&s=f8e3933c57eb7efd8e332d66e834cfa6,1,2021-05-20 16:15:00+00:00,2021-05-20 18:45:00+00:00,ACTIVE,,,Clase 100% práctica para introducirte en el mundo de la programación. Construye un feed de Instagram con HTML & CSS en poco más de 1 hora.,6.0,155579455339.0,live,https://www.eventbrite.com/e/entradas-crea-tu-propio-feed-de-instagram-con-html-y-css-155579455339,2021-05-17 09:18:57+00:00,2021-05-20 07:30:23.626694+00:00,PERSISTED,False,False,USD,,
21,125,¡Conviértete en el próximo Desarrollador Full-Stack! ,Intro to Coding: Descubre los beneficios de aprender a programar,,https://www.eventbrite.com/e/intro-to-coding-descubre-los-beneficios-de-aprender-a-programar-tickets-140401680205,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125658495%2F187450375408%2F1%2Foriginal.20210209-192359?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=958b031bfdfd0764b1956b3fa2fce4c5,100,2021-02-19 19:00:00+00:00,2021-02-19 20:00:00+00:00,ACTIVE,,,¡Conviértete en el próximo Desarrollador Full-Stack! ,2.0,140401680205.0,live,https://www.eventbrite.com/e/intro-to-coding-descubre-los-beneficios-de-aprender-a-programar-tickets-140401680205,2021-02-05 20:09:20+00:00,2021-02-19 07:30:35.444306+00:00,PERSISTED,True,False,USD,,
22,44,Learn JavaScript fundamentals,JavaScript for Beginners,,https://www.eventbrite.com/e/javascript-for-beginners-tickets-127791131715,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F117985121%2F187450375408%2F1%2Foriginal.20201117-202611?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=549455546b71b3c026eb5d2bda571e4d,100,2020-11-24 23:00:00+00:00,2020-11-25 00:30:00+00:00,ACTIVE,,,Learn JavaScript fundamentals,4.0,127791131715.0,live,https://www.eventbrite.com/e/javascript-for-beginners-tickets-127791131715,2020-11-02 21:50:03+00:00,2020-11-24 07:30:26.593880+00:00,PERSISTED,True,False,USD,,
23,190,Discover that learning to code will open the doors to the opportunities you are seeking,Pitch Day: Final Project Presentations,,https://www.eventbrite.com/e/pitch-day-final-project-presentations-tickets-165174231573,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F142971395%2F187450375408%2F1%2Foriginal.20210728-211052?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=6bacf078a9ee3753dcc0a70001eb8cb3,100,2021-08-06 22:00:00+00:00,2021-08-07 00:30:00+00:00,ACTIVE,,,Discover that learning to code will open the doors to the opportunities you are seeking,4.0,165174231573.0,live,https://www.eventbrite.com/e/pitch-day-final-project-presentations-tickets-165174231573,2021-07-28 19:58:24+00:00,2021-08-06 07:32:14.997870+00:00,PERSISTED,True,False,USD,,
24,144,Discover that learning to code will open the doors to the opportunities you are seeking.,Pitch Day: Meet the new talent in Software Development,,https://www.eventbrite.com/e/pitch-day-meet-the-new-talent-in-software-development-tickets-154614130025,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135198165%2F187450375408%2F1%2Foriginal.20210512-204754?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=4b84852f04c7c2b278fa2f5a4e7c19d0,100,2021-05-21 22:00:00+00:00,2021-05-22 00:00:00+00:00,ACTIVE,,,Discover that learning to code will open the doors to the opportunities you are seeking.,4.0,154614130025.0,live,https://www.eventbrite.com/e/pitch-day-meet-the-new-talent-in-software-development-tickets-154614130025,2021-05-12 19:44:28+00:00,2021-05-21 07:30:37.372440+00:00,PERSISTED,True,False,USD,,
25,145,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-154801981895,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F137188083%2F400512721347%2F1%2Foriginal.20210601-062449?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C8640%2C4320&s=551785d4706c83184e9d1a239042d4d2,40,2021-06-03 16:30:00+00:00,2021-06-03 18:00:00+00:00,ACTIVE,,,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,6.0,154801981895.0,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-154801981895,2021-05-14 10:42:29+00:00,2021-06-03 07:30:35.849532+00:00,PERSISTED,True,False,USD,,
26,46,"Aprende React Hooks, de la mano de nuestro profesor Deimian Vásquez ",Workshop: Aprende React Hooks (Nivel básico),,https://www.eventbrite.com/e/workshop-aprende-react-hooks-tickets-128271227695,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F117334929%2F187450375408%2F1%2Foriginal.20201110-214159?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=d0b327f623c136f7d87991bd57459925,180,2020-11-26 18:00:00+00:00,2020-11-26 19:30:00+00:00,ACTIVE,,,"Aprende React Hooks, de la mano de nuestro profesor Deimian Vásquez ",2.0,128271227695.0,live,https://www.eventbrite.com/e/workshop-aprende-react-hooks-nivel-basico-tickets-128271227695,2020-11-06 17:12:36+00:00,2020-11-26 07:30:23.598987+00:00,PERSISTED,True,False,USD,,
27,48,"Vivimos en tiempos de adaptación virtual, es por ello que no te puedes perder está charla. ",Conectar y Comunicar en Tiempos Virtuales,,https://www.eventbrite.com/e/conectar-y-comunicar-en-tiempos-virtuales-tickets-129735270687,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F118075387%2F187450375408%2F1%2Foriginal.20201118-165239?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=801fd41d9a9ee017e787c37d46673393,100,2020-11-26 19:30:00+00:00,2020-11-26 20:30:00+00:00,ACTIVE,,,"Vivimos en tiempos de adaptación virtual, es por ello que no te puedes perder está charla. ",,129735270687.0,live,https://www.eventbrite.com/e/conectar-y-comunicar-en-tiempos-virtuales-tickets-129735270687,2020-11-18 16:54:48+00:00,2020-11-26 07:30:23.674172+00:00,PERSISTED,True,False,USD,,
28,50,Get to know all the upcoming features for the new year ,Becoming part of the tech industry 2021,,https://www.eventbrite.com/e/whats-in-the-near-future-for-4geeks-usa-2021-tickets-130693073501,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F120580063%2F187450375408%2F1%2Foriginal.20201210-164219?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C94%2C1920%2C960&s=7cb60f3fbb2e65916366820528fb51b6,100,2020-12-15 17:00:00+00:00,2020-12-15 18:00:00+00:00,ACTIVE,,,Get to know all the upcoming features for the new year ,4.0,130693073501.0,live,https://www.eventbrite.com/e/becoming-part-of-the-tech-industry-2021-tickets-130693073501,2020-11-26 15:11:48+00:00,2020-12-15 07:30:26.353707+00:00,PERSISTED,True,False,USD,,
29,47,Diseña tu propia identidad visual y aprende Figma,Diseña tu propia identidad visual,,https://www.eventbrite.com/e/disena-tu-propia-identidad-visual-tickets-128700228849,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F117350283%2F400512721347%2F1%2Foriginal.20201111-003558?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=f7833c7c4b892b20f7929745bb51583a,50,2020-12-15 17:30:00+00:00,2020-12-15 19:30:00+00:00,ACTIVE,,,Diseña tu propia identidad visual y aprende Figma,6.0,128700228849.0,live,https://www.eventbrite.com/e/disena-tu-propia-identidad-visual-tickets-128700228849,2020-11-13 09:59:15+00:00,2020-12-15 07:30:26.465612+00:00,PERSISTED,True,False,USD,,
30,51,"¿Estás especializado en programación Front-End o tienes interés en aprender React? ¡Este webinar es para ti!
",Redux or Context: choose wisely (or not),,https://www.eventbrite.com/e/redux-or-context-choose-wisely-or-not-tickets-131400393113,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F119436907%2F187450375408%2F1%2Foriginal.20201202-212550?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=8ff4d2b41857d17742636bd40dee8b58,200,2020-12-15 21:00:00+00:00,2020-12-15 22:00:00+00:00,ACTIVE,,,"¿Estás especializado en programación Front-End o tienes interés en aprender React? ¡Este webinar es para ti!
",,131400393113.0,live,https://www.eventbrite.com/e/redux-or-context-choose-wisely-or-not-tickets-131400393113,2020-12-02 21:34:16+00:00,2020-12-15 07:30:26.423155+00:00,PERSISTED,True,False,USD,,
31,49,¡Aprende lo básico de Python!,Cómo crear una app de mensajería con Python,,https://www.eventbrite.com/e/como-crear-una-app-de-mensajeria-con-python-tickets-130586924005,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F118785091%2F187450375408%2F1%2Foriginal.20201126-143008?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=d1686a0fe63671278c8b084601774033,326,2020-12-17 21:00:00+00:00,2020-12-17 23:00:00+00:00,ACTIVE,,,¡Aprende lo básico de Python!,2.0,130586924005.0,live,https://www.eventbrite.com/e/como-crear-una-app-de-mensajeria-con-python-tickets-130586924005,2020-11-25 16:36:41+00:00,2020-12-17 07:30:28.619643+00:00,PERSISTED,True,False,USD,,
32,131,Conviértete en el mejor candidato,Conviértete en el mejor candidato,,https://www.eventbrite.com/e/conviertete-en-el-mejor-candidato-tickets-146314593889,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F129463373%2F400512721347%2F1%2Foriginal.20210318-083921?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=49b073a027e5f835263d621d5f2d0d2c,40,2021-03-25 17:30:00+00:00,2021-03-25 19:00:00+00:00,ACTIVE,,,Conviértete en el mejor candidato,6.0,146314593889.0,live,https://www.eventbrite.com/e/conviertete-en-el-mejor-candidato-tickets-146314593889,2021-03-15 10:10:12+00:00,2021-03-25 07:31:04.637787+00:00,PERSISTED,True,False,USD,,
